DisplayName,PackageIdentifier,InstallAs,AssignmentType,AssignmentTarget
Feedback Hub,9NBLGGH4R32N,User,,
Intune Network Drive Mapping,9NWVZR414XS6,User,,
Mail and Calendar,9WZDNCRFHVQM,User,,
Microsoft Accessory Center,9N013P0KR5VX,User,Available,AllUsers
OneDrive,9WZDNCRFJ1P3,User,Available,AllUsers
Phone Link,9NMPJ99VJBWV,User,Available,AllUsers
Power BI,9NBLGGGZLXN1,User,Available,AllUsers
Spotify - Music and Podcasts,9NCBCSZSJRSB,User,Available,AllUsers
VLC UWP,9NBLGGH4VVNH,User,Available,AllUsers
Xbox Game Bar,9NZKPSTSNW4P,User,,
